	YW1	YW2	YW3	YW4	YW5	YW6	YW7	YW8
ENSG00000178233	3	3	5	2	7	4	3	4
ENSG00000178234	1527	1570	1894	2173	1386	1597	1659	1775
ENSG00000178235	1	0	1	0	0	0	1	0
ENSG00000178243	0	0	0	0	0	0	0	0
ENSG00000178248	0	0	1	2	0	0	0	0
ENSG00000178252	11276	10326	12550	14350	8465	12345	11684	12317
ENSG00000178257	0	0	0	0	0	0	0	0
ENSG00000178279	0	0	0	0	0	0	0	0
ENSG00000178287	0	0	0	0	0	0	0	0
ENSG00000178295	1606	1871	2550	2576	1480	1709	2156	1858
ENSG00000178297	1	1	1	4	3	4	3	2
ENSG00000178301	51	50	60	76	37	68	48	51
ENSG00000178307	1070	775	1034	1126	852	1158	945	1028
ENSG00000178338	641	787	992	1060	571	783	824	729
ENSG00000178342	2	2	0	0	6	0	1	0
ENSG00000178343	237	218	229	317	166	251	239	232
ENSG00000178358	0	0	0	0	0	0	0	0
ENSG00000178363	0	0	0	0	0	0	0	0
ENSG00000178372	0	0	0	0	0	0	0	0
ENSG00000178381	176	145	206	232	176	207	194	172
ENSG00000178385	879	893	1206	1231	588	921	1079	952
ENSG00000178386	24	26	52	60	20	32	32	22
ENSG00000178394	0	0	0	0	2	0	0	0
ENSG00000178395	0	0	0	0	0	0	0	0
ENSG00000178397	0	2	0	0	1	4	2	0
ENSG00000178401	437	598	526	774	390	408	461	495
ENSG00000178403	28	36	35	36	28	48	35	47
ENSG00000178404	3	6	7	8	2	7	4	10
ENSG00000178409	1218	1110	1431	1531	780	1187	1316	1328
ENSG00000178412	0	0	0	0	0	0	0	0
ENSG00000178425	1386	1491	2117	2085	1328	1466	1819	1506
ENSG00000178429	2	1	4	4	6	0	3	4
ENSG00000178440	584	668	895	832	407	662	689	642
ENSG00000178445	2742	2721	3427	3620	2058	2722	3187	2969
ENSG00000178449	106	111	112	89	109	210	84	114
ENSG00000178457	0	0	0	0	0	0	0	0
ENSG00000178458	24	33	40	43	49	29	35	36
ENSG00000178460	1	3	2	4	0	2	0	4
ENSG00000178462	1	1	1	0	0	2	2	3
ENSG00000178464	15	14	11	16	30	19	16	19
ENSG00000178467	1055	1175	1220	1677	876	1058	1149	1251
ENSG00000178473	0	0	0	0	0	0	0	0
ENSG00000178498	1131	1048	1321	1529	1005	1026	1088	1090
ENSG00000178502	877	912	1283	1122	489	1020	1047	935
ENSG00000178503	0	0	0	1	0	0	0	0
ENSG00000178522	4	7	6	7	2	2	6	5
ENSG00000178531	928	721	716	989	645	993	690	1080
ENSG00000178537	541	483	598	688	533	602	640	569
ENSG00000178538	1176	1238	1533	1545	991	1241	1410	1240
ENSG00000178556	0	0	0	0	0	0	0	0
ENSG00000178562	0	0	0	0	0	0	0	0
ENSG00000178567	819	1019	1332	1488	582	799	969	854
ENSG00000178568	283	374	426	498	216	248	356	300
ENSG00000178573	243	326	336	364	184	251	211	270
ENSG00000178585	644	645	700	821	534	628	663	672
ENSG00000178586	0	0	0	0	0	0	0	0
ENSG00000178591	0	0	0	0	0	0	0	0
ENSG00000178596	0	0	0	0	0	0	0	0
ENSG00000178597	0	1	1	2	1	1	0	0
ENSG00000178602	0	0	0	0	0	0	0	1
ENSG00000178605	3191	2676	3228	3902	2858	3180	3241	3493
ENSG00000178607	551	592	701	735	387	590	628	581
ENSG00000178623	24	19	27	41	23	22	29	30
ENSG00000178631	3	11	8	18	4	4	3	4
ENSG00000178636	5	9	4	6	5	16	5	1
ENSG00000178645	0	0	0	0	0	0	0	0
ENSG00000178654	0	0	0	0	0	0	0	0
ENSG00000178660	22	28	48	56	62	10	45	33
ENSG00000178662	242	368	421	512	133	230	353	334
ENSG00000178665	112	137	144	184	107	131	117	112
ENSG00000178685	37	46	41	54	27	36	31	37
ENSG00000178690	0	0	0	0	0	0	0	0
ENSG00000178691	5451	5967	8182	8198	5113	6049	7398	6083
ENSG00000178694	566	644	885	772	455	572	742	642
ENSG00000178695	3203	3567	4763	4756	2786	3782	4185	3786
ENSG00000178700	249	301	439	430	234	255	357	299
ENSG00000178715	0	1	3	2	1	2	1	0
ENSG00000178718	146	129	139	146	107	144	116	138
ENSG00000178719	2958	2582	2813	3149	2155	2877	2711	3145
ENSG00000178722	0	0	0	0	0	0	0	0
ENSG00000178723	0	0	0	0	0	0	0	0
ENSG00000178726	28	34	32	45	9	28	20	18
ENSG00000178732	1	3	3	3	1	0	3	3
ENSG00000178734	0	0	1	0	0	0	0	0
ENSG00000178741	3941	3573	4066	3510	3401	4997	3576	3947
ENSG00000178750	0	0	0	0	0	0	0	0
ENSG00000178752	708	881	835	1170	661	766	782	880
ENSG00000178761	2181	2209	2812	3068	1818	2305	2431	2367
ENSG00000178762	0	0	0	0	0	0	0	0
ENSG00000178764	706	744	900	926	584	751	795	837
ENSG00000178772	1	1	0	1	0	2	2	0
ENSG00000178773	265	372	442	683	307	340	352	378
ENSG00000178776	0	0	0	0	0	0	0	0
ENSG00000178789	0	0	0	0	0	0	0	0
ENSG00000178795	0	0	0	0	0	0	0	0
ENSG00000178796	0	0	2	0	0	0	0	0
ENSG00000178802	4231	4124	4784	5580	3810	4296	4484	4572
ENSG00000178803	0	1	2	0	0	1	0	3
ENSG00000178804	0	0	0	0	0	0	0	0
ENSG00000178809	14	24	19	26	14	27	13	19
ENSG00000178814	0	1	0	3	1	0	1	2
ENSG00000178821	90	81	70	95	64	100	64	91
ENSG00000178826	2	8	2	1	1	1	1	2
ENSG00000178828	0	0	0	0	0	0	0	0
ENSG00000178836	0	0	0	0	0	0	0	0
ENSG00000178852	9	12	4	10	3	9	6	5
ENSG00000178860	18	23	20	20	18	28	25	16
ENSG00000178878	209	242	271	348	167	167	227	191
ENSG00000178882	268	299	318	405	329	307	294	358
ENSG00000178896	955	669	822	918	838	1175	846	1041
ENSG00000178904	1545	1788	2550	2520	1243	1857	2037	2030
ENSG00000178913	3884	4250	5292	5532	3472	4082	5020	4114
ENSG00000178917	32	48	79	55	21	46	63	58
ENSG00000178919	108	138	125	176	71	89	91	114
ENSG00000178921	7007	5804	7559	8526	4715	6977	7031	7403
ENSG00000178922	557	582	690	850	542	610	580	599
ENSG00000178927	955	825	1013	1284	817	1055	937	1011
ENSG00000178928	1	0	0	0	0	0	0	0
ENSG00000178934	0	0	0	0	0	3	0	0
ENSG00000178935	356	333	486	437	294	322	406	358
ENSG00000178947	245	306	298	358	186	235	276	286
ENSG00000178950	3279	2825	3397	4221	2194	3308	3362	3626
ENSG00000178951	2049	1934	2340	2599	1915	2280	2054	2376
ENSG00000178952	7597	6987	8181	8938	6944	8567	8136	7960
ENSG00000178965	1	0	0	1	0	1	0	0
ENSG00000178966	775	941	1236	1247	818	817	1073	920
ENSG00000178971	781	804	980	1249	566	843	751	787
ENSG00000178974	1383	1376	1912	1882	1097	1387	1653	1482
ENSG00000178977	1	9	6	7	9	3	6	9
ENSG00000178980	1225	1145	1223	1409	1025	1347	1074	1278
ENSG00000178982	3423	2984	3731	3531	3034	4000	3145	3539
ENSG00000178988	2399	2634	3301	3725	2515	2665	3143	2705
ENSG00000178996	1159	1142	1436	1577	891	1448	1442	1348
ENSG00000178997	5	3	2	4	2	6	4	3
ENSG00000178999	4862	4212	5156	5342	4546	5424	4806	5173
ENSG00000179002	0	0	0	0	0	0	0	0
ENSG00000179008	16	48	40	57	20	16	22	24
ENSG00000179010	17150	15429	20148	20663	17205	19154	18854	18044
ENSG00000179021	905	975	1126	1287	827	979	1164	972
ENSG00000179023	0	3	1	3	5	0	1	2
ENSG00000179028	0	0	0	0	0	0	0	0
ENSG00000179029	99	139	152	193	94	136	125	135
ENSG00000179031	0	0	0	0	0	0	0	0
ENSG00000179038	0	0	0	0	0	0	0	0
ENSG00000179041	1828	1242	1648	1608	1414	1822	1582	1845
ENSG00000179044	2	19	8	10	4	9	6	13
ENSG00000179046	6	18	13	13	6	17	7	7
ENSG00000179051	5224	5384	6863	7161	3636	5145	6359	6215
ENSG00000179055	0	0	0	0	0	0	0	0
ENSG00000179057	7	11	3	9	4	5	9	5
ENSG00000179058	1	0	3	0	0	0	0	2
ENSG00000179059	0	0	0	0	0	0	0	0
ENSG00000179066	33	51	43	45	25	56	45	37
ENSG00000179071	5	6	8	7	7	9	16	1
ENSG00000179073	0	0	0	0	0	0	0	0
ENSG00000179082	2	2	1	5	1	0	3	1
ENSG00000179083	0	1	0	0	1	0	3	2
ENSG00000179085	536	546	525	470	457	983	381	593
ENSG00000179088	0	0	0	2	0	0	0	0
ENSG00000179091	6543	5245	5783	6805	5567	7162	5816	6939
ENSG00000179094	1186	877	1117	1254	772	1141	1087	1262
ENSG00000179097	0	0	0	0	0	0	0	0
ENSG00000179101	2	1	2	2	2	1	0	0
ENSG00000179104	515	675	797	851	375	650	643	669
ENSG00000179111	51	55	55	90	23	59	31	59
ENSG00000179115	11394	8861	9958	11586	8665	11642	10068	11635
ENSG00000179119	1650	1653	2351	2260	1298	1586	2152	1790
ENSG00000179131	0	0	0	0	0	0	0	0
ENSG00000179133	2	0	3	2	1	1	3	0
ENSG00000179134	5831	5365	6609	7110	4036	5923	5933	6520
ENSG00000179136	0	0	0	0	0	0	0	0
ENSG00000179141	4	4	3	4	6	3	4	2
ENSG00000179142	0	0	0	0	0	0	0	0
ENSG00000179144	0	0	1	0	0	0	0	0
ENSG00000179148	44	57	59	85	30	46	54	54
ENSG00000179151	4350	4180	4982	5460	3371	4529	4933	4727
ENSG00000179152	1535	1695	2329	2270	1470	1620	2076	1746
ENSG00000179157	0	0	0	0	0	0	0	0
ENSG00000179163	789	885	966	1066	742	880	949	889
ENSG00000179165	2	2	1	12	6	6	3	1
ENSG00000179168	14	4	4	8	5	12	6	12
ENSG00000179170	0	0	0	0	0	0	0	0
ENSG00000179172	0	0	0	0	1	0	0	0
ENSG00000179178	0	0	0	0	0	0	0	0
ENSG00000179195	10693	11344	15246	14281	9582	12183	13572	12210
ENSG00000179213	0	0	0	0	0	0	0	0
ENSG00000179218	33954	29373	39629	37956	33224	35693	35855	34782
ENSG00000179219	2	4	3	4	3	1	5	3
ENSG00000179222	6904	6822	7962	8727	5366	6293	7129	6982
ENSG00000179240	217	287	330	411	141	259	290	303
ENSG00000179241	880	895	1076	1215	699	1040	996	1038
ENSG00000179242	95	85	138	142	44	97	87	90
ENSG00000179253	0	0	0	0	0	0	0	0
ENSG00000179256	0	0	0	0	0	0	0	0
ENSG00000179262	7647	6708	7609	8676	6258	7657	7117	7794
ENSG00000179270	0	0	0	0	0	0	0	0
ENSG00000179271	2900	2148	2613	2510	2374	3678	2407	3284
ENSG00000179277	0	0	0	0	0	0	0	0
ENSG00000179284	10	22	14	21	10	10	14	14
ENSG00000179292	3	5	8	7	7	3	6	4
ENSG00000179295	10693	10806	14594	15005	7556	11146	13382	11489
ENSG00000179299	0	0	0	0	0	0	0	0
ENSG00000179300	0	0	0	0	0	0	0	0
ENSG00000179304	5	4	8	4	5	6	6	1
ENSG00000179314	821	839	991	1113	637	843	882	894
ENSG00000179331	38	35	58	75	26	46	51	45
ENSG00000179335	1266	1147	1374	1577	925	1245	1263	1309
ENSG00000179342	0	0	0	1	1	0	0	0
ENSG00000179344	188	243	214	339	207	210	198	227
ENSG00000179348	2202	1697	2111	2321	1696	2327	2087	2324
ENSG00000179361	1866	1783	2074	2258	1227	1932	1982	2019
ENSG00000179362	1	3	1	4	1	1	6	0
ENSG00000179363	4	7	4	7	6	5	8	2
ENSG00000179364	2234	2195	2511	3087	1634	2261	2117	2484
ENSG00000179381	0	0	0	0	0	0	0	0
ENSG00000179387	1184	1498	1961	2193	1202	1359	1894	1460
ENSG00000179388	35	45	58	60	29	40	28	34
ENSG00000179397	37	41	41	71	30	32	47	38
ENSG00000179399	47	38	53	65	43	52	42	40
ENSG00000179403	1071	1001	953	1370	867	1146	962	1208
ENSG00000179406	248	390	395	562	244	339	344	314
ENSG00000179407	0	0	0	0	0	0	0	0
ENSG00000179409	5361	4677	5663	6216	3880	5501	5344	5682
ENSG00000179412	0	0	0	0	0	0	0	0
ENSG00000179420	0	0	0	0	0	0	0	0
ENSG00000179428	0	0	0	0	0	0	0	1
ENSG00000179431	1314	1198	1273	1549	1024	1386	1224	1619
ENSG00000179443	0	0	0	0	0	0	0	0
ENSG00000179447	0	0	0	0	0	0	0	0
ENSG00000179452	1	0	1	1	0	0	0	0
ENSG00000179454	363	470	712	702	421	496	578	526
ENSG00000179455	180	215	225	248	128	194	213	198
ENSG00000179456	2045	1985	2746	2881	1840	2160	2396	2301
ENSG00000179460	0	0	0	0	0	0	0	0
ENSG00000179468	0	0	0	0	0	0	0	0
ENSG00000179476	54	84	85	96	66	61	95	89
ENSG00000179477	10	3	9	10	5	2	0	7
ENSG00000179520	0	0	2	0	3	0	0	0
ENSG00000179523	240	286	309	369	251	265	324	267
ENSG00000179526	991	781	921	1210	750	971	854	1003
ENSG00000179528	132	149	119	155	96	124	119	106
ENSG00000179532	202	267	313	432	111	208	258	229
ENSG00000179542	0	0	0	0	0	0	0	0
ENSG00000179546	56	78	68	76	29	54	67	62
ENSG00000179562	1024	997	1167	1145	751	947	1078	982
ENSG00000179564	3	1	3	2	0	0	6	4
ENSG00000179571	1	0	0	0	0	1	1	0
ENSG00000179577	0	0	0	1	0	0	0	0
ENSG00000179580	1	0	1	1	0	3	2	0
ENSG00000179583	2	5	2	4	1	4	0	3
ENSG00000179588	279	276	288	333	183	361	265	294
ENSG00000179593	20	28	37	47	16	30	34	34
ENSG00000179598	528	418	548	562	433	631	545	589
ENSG00000179600	0	0	0	1	0	0	0	0
ENSG00000179603	175	218	246	269	145	241	227	223
ENSG00000179604	1206	1131	1244	1524	973	1175	1221	1354
ENSG00000179611	38	44	51	54	57	37	57	53
ENSG00000179615	0	0	0	0	0	0	0	0
ENSG00000179626	0	0	0	0	0	0	0	0
ENSG00000179627	140	128	156	162	88	117	134	130
ENSG00000179630	55	57	64	72	35	40	51	40
ENSG00000179632	3304	2771	3194	3569	2668	3413	3113	3547
ENSG00000179636	0	0	0	0	0	0	0	0
ENSG00000179639	0	0	0	0	0	0	0	0
ENSG00000179673	354	324	288	412	277	461	343	417
ENSG00000179674	1	2	0	1	0	0	0	1
ENSG00000179676	0	0	0	0	0	0	0	0
ENSG00000179695	0	0	0	0	0	0	0	0
ENSG00000179698	35	46	41	92	39	64	41	45
ENSG00000179709	0	0	0	0	0	0	0	0
ENSG00000179715	9	9	16	25	5	11	12	3
ENSG00000179743	486	562	587	759	411	554	463	565
ENSG00000179750	45	84	93	86	42	55	39	48
ENSG00000179751	0	0	0	0	0	0	0	0
ENSG00000179755	0	0	0	0	0	0	0	0
ENSG00000179761	13	26	21	36	17	26	19	18
ENSG00000179766	4	7	18	10	7	13	7	5
ENSG00000179772	0	0	0	0	0	0	0	0
ENSG00000179774	12	13	8	4	8	3	8	18
ENSG00000179776	25	29	19	42	12	19	24	28
ENSG00000179796	0	0	1	0	0	0	2	0
ENSG00000179799	0	0	0	0	0	0	0	0
ENSG00000179813	0	0	0	0	0	0	0	0
ENSG00000179817	0	0	0	0	0	0	0	0
ENSG00000179818	583	635	878	885	628	609	783	710
ENSG00000179820	740	849	776	971	626	775	682	837
ENSG00000179826	0	0	0	0	0	0	0	0
ENSG00000179832	275	343	363	538	169	275	304	386
ENSG00000179833	1233	1440	1726	1912	952	1361	1526	1541
ENSG00000179840	0	0	0	0	0	0	0	0
ENSG00000179841	614	633	821	897	533	632	789	689
ENSG00000179846	51	51	52	58	54	73	51	70
ENSG00000179855	302	413	367	534	181	295	350	352
ENSG00000179859	130	175	191	199	158	162	190	158
ENSG00000179862	48	52	38	51	47	52	43	73
ENSG00000179869	1	0	0	1	1	1	0	0
ENSG00000179873	17	7	18	8	8	9	13	11
ENSG00000179886	0	0	0	0	0	0	0	0
ENSG00000179889	3911	3615	4802	4820	2567	3968	4299	3841
ENSG00000179899	87	116	123	126	44	107	97	119
ENSG00000179902	0	0	0	0	0	1	0	0
ENSG00000179909	0	1	1	0	0	1	0	0
ENSG00000179912	693	910	950	1026	505	825	780	791
ENSG00000179913	5	5	6	6	1	8	5	4
ENSG00000179914	0	0	0	0	0	0	1	0
ENSG00000179915	0	0	2	0	0	0	0	0
ENSG00000179918	5004	4383	5296	6005	4052	4934	5082	5173
ENSG00000179919	0	0	0	0	0	0	0	0
ENSG00000179921	7	4	4	4	6	3	4	10
ENSG00000179922	337	334	343	419	284	373	293	391
ENSG00000179930	11	14	10	22	9	10	17	14
ENSG00000179933	1206	1114	1376	1351	1126	1320	1314	1318
ENSG00000179934	0	0	0	0	0	0	0	0
ENSG00000179935	27	27	48	33	28	32	37	41
ENSG00000179938	2	1	3	4	3	3	4	6
ENSG00000179941	791	969	1213	1351	665	845	1115	1027
ENSG00000179943	556	507	578	717	476	629	572	678
ENSG00000179950	4563	3709	4463	4886	3770	4749	4459	4906
ENSG00000179954	9	15	12	25	7	9	10	14
ENSG00000179958	6727	5106	5854	6132	5463	7182	6251	6549
ENSG00000179965	1589	1189	1275	1576	1158	1655	1178	1712
ENSG00000179967	5	14	15	12	9	13	9	16
ENSG00000179978	4	11	8	18	6	11	12	12
ENSG00000179981	1490	1512	1764	2008	937	1539	1549	1611
ENSG00000179988	273	334	421	390	279	369	361	343
ENSG00000179994	1	0	0	0	0	0	0	0
ENSG00000179997	0	0	0	0	0	0	0	0
ENSG00000180008	1870	2090	3031	2818	1673	2127	2707	2213
ENSG00000180011	1519	1588	1907	2183	1197	1660	1812	1646
ENSG00000180015	25	36	63	61	42	33	58	54
ENSG00000180016	0	0	0	0	0	0	0	0
ENSG00000180019	0	0	2	0	1	0	0	0
ENSG00000180035	1123	1032	1240	1347	1063	1132	1238	1331
ENSG00000180042	0	0	0	0	0	0	0	0
ENSG00000180043	0	1	3	1	0	1	0	2
ENSG00000180044	246	262	243	362	205	264	275	281
ENSG00000180053	0	0	0	0	0	0	0	0
ENSG00000180061	7	5	6	3	4	2	3	3
ENSG00000180066	25	23	27	32	17	19	20	24
ENSG00000180068	0	0	0	0	0	0	0	0
ENSG00000180071	466	599	905	745	473	500	581	499
ENSG00000180083	0	0	0	0	0	0	0	0
ENSG00000180089	6	7	3	9	6	15	5	9
ENSG00000180090	0	0	0	0	0	0	0	0
ENSG00000180096	76	108	83	89	63	66	64	74
ENSG00000180098	900	909	1059	1075	889	975	986	952
ENSG00000180104	2646	2518	3240	3431	2145	2716	2820	2909
ENSG00000180105	0	0	0	0	0	0	0	0
ENSG00000180113	39	65	102	95	50	59	68	63
ENSG00000180116	0	0	0	0	0	0	1	0
ENSG00000180138	0	0	0	0	0	0	0	0
ENSG00000180139	5	12	10	8	2	11	9	4
ENSG00000180150	0	0	0	0	0	0	0	0
ENSG00000180152	2	1	5	2	3	3	1	2
ENSG00000180155	9	3	4	9	3	6	3	3
ENSG00000180172	0	0	0	0	0	0	0	0
ENSG00000180176	0	0	0	2	0	1	1	0
ENSG00000180178	0	0	0	0	0	0	0	0
ENSG00000180182	5643	6155	8283	8093	3751	6574	6952	6720
ENSG00000180185	1506	1232	1495	1680	1423	1343	1469	1410
ENSG00000180189	0	0	0	0	0	0	0	0
ENSG00000180190	720	792	895	1104	669	766	877	910
ENSG00000180198	8189	7289	9708	9538	6692	8727	9449	8683
ENSG00000180205	0	0	0	0	0	0	0	0
ENSG00000180209	7	3	6	4	6	9	11	6
ENSG00000180210	4	4	5	10	1	3	0	4
ENSG00000180211	0	3	1	2	0	1	2	2
ENSG00000180219	0	0	0	0	0	0	0	0
ENSG00000180221	4	1	9	8	0	1	4	3
ENSG00000180228	1258	1252	1711	1605	1252	1353	1573	1359
ENSG00000180229	55	44	84	84	22	76	78	65
ENSG00000180230	0	0	0	0	0	0	0	0
ENSG00000180233	374	324	474	541	283	407	436	501
ENSG00000180245	22	35	49	55	21	32	24	36
ENSG00000180251	0	0	0	0	0	0	0	0
ENSG00000180257	93	120	132	159	103	98	128	110
ENSG00000180259	0	0	0	0	0	0	0	0
ENSG00000180263	449	514	681	581	264	460	549	489
ENSG00000180264	1	0	1	3	0	3	0	1
ENSG00000180269	0	0	0	0	0	0	0	0
ENSG00000180279	5	4	6	11	6	6	6	3
ENSG00000180284	0	0	0	0	0	0	0	1
ENSG00000180287	2	1	3	1	2	0	0	1
ENSG00000180304	1975	1988	2438	2564	1839	2298	2356	2153
ENSG00000180305	0	0	0	0	0	0	0	0
ENSG00000180316	8	2	3	5	4	7	5	5
ENSG00000180318	257	264	328	288	215	303	318	278
ENSG00000180329	2637	2734	3714	3634	2685	2641	3257	2854
ENSG00000180332	1	2	0	3	0	0	0	1
ENSG00000180336	62	116	115	122	43	67	62	74
ENSG00000180340	933	854	763	1221	562	933	792	1095
ENSG00000180346	273	299	395	378	203	308	318	314
ENSG00000180347	0	0	0	0	0	0	0	0
ENSG00000180353	79	100	110	105	74	72	119	74
ENSG00000180354	1963	2187	2651	3013	1630	2198	2469	2218
ENSG00000180357	2584	2684	3266	3226	1427	2548	3047	2839
ENSG00000180370	5158	5267	7140	7213	4058	5332	6541	5825
ENSG00000180376	1288	1563	2158	1995	1204	1402	1743	1578
ENSG00000180383	0	0	0	0	0	1	0	0
ENSG00000180385	637	821	1068	1010	616	714	826	745
ENSG00000180386	0	0	0	0	0	0	0	0
ENSG00000180389	0	0	1	0	0	0	0	0
ENSG00000180398	3882	4060	5148	5215	2867	4065	4732	4257
ENSG00000180409	0	0	0	0	0	0	0	0
ENSG00000180422	4	7	15	9	4	8	5	5
ENSG00000180423	148	122	147	163	117	149	140	149
ENSG00000180424	0	0	0	0	0	0	0	0
ENSG00000180425	168	214	241	298	193	260	230	236
ENSG00000180432	0	0	0	0	0	0	0	1
ENSG00000180433	0	0	0	1	0	0	0	0
ENSG00000180437	0	0	0	0	0	0	0	0
ENSG00000180438	1	2	0	1	0	1	0	2
ENSG00000180440	36	48	57	55	28	52	38	54
ENSG00000180447	1415	1303	1529	1700	1177	1617	1411	1716
ENSG00000180448	158	175	172	254	113	183	168	203
ENSG00000180458	2	1	2	3	3	0	0	2
ENSG00000180475	0	0	0	0	0	0	0	0
ENSG00000180479	178	175	249	305	149	206	223	198
ENSG00000180481	3	7	12	29	12	9	7	8
ENSG00000180483	0	0	0	0	0	0	0	0
ENSG00000180488	705	820	1100	1170	628	797	1101	856
ENSG00000180509	2	2	10	18	4	8	5	8
ENSG00000180525	31	42	53	52	24	26	39	30
ENSG00000180530	1195	1431	1959	1963	867	1255	1702	1421
ENSG00000180532	0	3	3	0	0	0	1	1
ENSG00000180535	93	73	103	116	59	79	92	111
ENSG00000180537	157	202	225	250	150	250	223	190
ENSG00000180539	2	6	8	9	1	0	3	4
ENSG00000180543	0	0	0	0	0	0	0	0
ENSG00000180549	0	0	0	0	0	1	1	0
ENSG00000180573	161	154	201	223	161	213	206	179
ENSG00000180574	33	44	62	61	57	29	51	40
ENSG00000180581	97	103	154	167	160	132	152	87
ENSG00000180592	190	194	218	225	103	240	208	192
ENSG00000180596	40	42	53	48	39	36	32	39
ENSG00000180610	0	0	0	1	0	0	0	0
ENSG00000180611	366	400	493	508	284	347	398	392
ENSG00000180613	1	0	0	0	0	0	0	0
ENSG00000180616	146	151	193	170	150	140	156	153
ENSG00000180626	543	683	937	892	390	519	706	607
ENSG00000180628	1827	2020	2785	2907	1678	2002	2604	2180
ENSG00000180638	0	0	1	1	0	0	0	0
ENSG00000180644	54	51	68	74	47	48	53	53
ENSG00000180658	0	0	0	0	0	0	0	0
ENSG00000180660	64	52	93	102	61	68	70	66
ENSG00000180662	0	0	0	0	0	0	0	0
ENSG00000180663	0	0	0	0	0	0	0	0
ENSG00000180667	1678	1748	2529	2370	1503	1910	2422	1903
ENSG00000180673	2	3	4	1	2	4	2	0
ENSG00000180694	558	667	796	797	621	726	780	746
ENSG00000180697	0	1	0	1	0	1	0	1
ENSG00000180708	0	0	0	0	0	0	0	0
ENSG00000180712	2	3	11	9	3	3	3	3
ENSG00000180714	0	0	0	0	0	0	0	0
ENSG00000180720	15	12	9	15	10	11	13	11
ENSG00000180723	0	0	0	0	1	0	0	0
ENSG00000180730	709	695	851	1054	538	595	645	669
ENSG00000180739	79	79	72	108	52	85	62	94
ENSG00000180745	0	0	0	0	0	0	0	0
ENSG00000180747	134	141	228	160	42	156	170	144
ENSG00000180758	450	445	512	625	370	391	469	475
ENSG00000180764	13	24	15	28	20	20	18	21
ENSG00000180767	12	3	3	4	4	9	3	9
ENSG00000180769	59	77	73	99	57	60	65	55
ENSG00000180770	0	0	0	0	0	0	0	0
ENSG00000180772	0	0	2	0	0	0	0	0
ENSG00000180773	1241	1358	1836	1849	1123	1327	1633	1444
ENSG00000180776	3443	3758	4984	4855	2794	4014	4596	3783
ENSG00000180777	0	0	0	1	0	1	0	0
ENSG00000180785	1	3	1	2	0	3	0	4
ENSG00000180787	3	1	0	0	0	2	1	0
ENSG00000180801	115	138	145	165	81	120	135	148
ENSG00000180803	0	0	0	0	0	0	0	0
ENSG00000180806	785	678	788	855	690	926	766	863
ENSG00000180815	569	699	869	882	471	592	727	616
ENSG00000180817	9907	9810	12822	13202	10731	11650	12524	11156
ENSG00000180818	289	293	354	360	241	314	274	292
ENSG00000180822	616	624	749	814	437	769	628	679
ENSG00000180828	4	3	4	1	1	1	4	7
ENSG00000180834	53	58	48	63	32	100	59	100
ENSG00000180846	0	0	0	0	0	0	0	0
ENSG00000180855	185	256	343	269	174	205	284	224
ENSG00000180861	0	0	0	0	0	0	0	0
ENSG00000180867	42	61	73	65	58	49	63	64
ENSG00000180869	0	0	1	0	0	1	1	0
ENSG00000180871	1	10	5	7	2	3	2	3
ENSG00000180872	0	0	0	0	0	0	0	0
ENSG00000180875	59	58	81	86	36	47	58	67
ENSG00000180878	0	0	0	0	0	0	0	0
ENSG00000180879	2270	1987	2212	2248	2029	2795	1999	2348
ENSG00000180881	92	117	165	175	91	82	130	106
ENSG00000180884	196	216	270	272	124	222	227	202
ENSG00000180891	1331	1213	1452	1697	1160	1347	1400	1477
ENSG00000180900	8493	6525	7656	9267	6794	8149	7965	8689
ENSG00000180901	1598	1476	1905	2099	1384	1662	1737	1646
ENSG00000180902	1057	1048	1153	1561	860	1284	1043	1212
ENSG00000180909	0	0	0	0	0	0	0	0
ENSG00000180910	0	0	0	0	0	0	0	0
ENSG00000180913	0	0	0	0	0	0	0	0
ENSG00000180914	168	203	258	263	163	157	205	194
ENSG00000180917	89	81	90	126	74	82	89	83
ENSG00000180919	0	0	0	0	0	0	0	0
ENSG00000180921	90	72	103	132	19	99	82	124
ENSG00000180926	0	0	0	0	0	0	0	0
ENSG00000180929	6	7	5	5	2	3	1	2
ENSG00000180934	0	0	0	0	0	0	0	0
ENSG00000180938	5	18	17	24	13	14	10	12
ENSG00000180953	37	33	73	61	49	30	41	33
ENSG00000180957	6902	7031	9712	9487	5843	7421	8974	7354
ENSG00000180964	1459	1636	1875	1991	1385	1494	1838	1518
ENSG00000180974	0	0	0	0	0	0	0	0
ENSG00000180979	445	422	559	512	471	488	508	462
ENSG00000180988	0	0	0	0	0	0	0	0
ENSG00000180992	2426	1924	2090	2111	2070	3032	2217	2523
ENSG00000180998	213	338	338	456	263	248	282	292
ENSG00000180999	0	0	0	0	0	2	1	0
ENSG00000181001	0	0	0	0	0	0	0	0
ENSG00000181004	138	123	177	182	90	145	163	105
ENSG00000181007	1	0	0	0	0	0	1	0
ENSG00000181009	0	0	1	0	0	0	0	0
ENSG00000181013	0	1	0	0	0	0	1	0
ENSG00000181016	21	40	43	51	26	23	22	43
ENSG00000181017	0	0	0	0	0	0	0	0
ENSG00000181019	94	92	103	131	65	106	119	102
ENSG00000181023	0	0	0	0	0	0	0	0
ENSG00000181026	4322	3639	4749	4974	3552	4650	4929	4808
